waktu,real,predicted (rbf),predicted (linear),real label,predicted (rbf) label,predicted (linear) label
25/01/2019 01:50:00,1013.3,1012.8006790656566,1008.6126477655996,Normal,Normal,Normal
25/01/2019 02:00:00,1013.4,1012.6921003185162,1008.6036081698765,Normal,Normal,Normal
25/01/2019 02:10:00,1013.4,1012.5354793486584,1008.5966661659111,Normal,Normal,Normal
25/01/2019 02:20:00,1013.4,1012.3176469450069,1008.5839374077548,Normal,Normal,Normal
25/01/2019 02:30:00,1013.5,1012.1005727366606,1008.5823241540272,Normal,Normal,Normal
25/01/2019 02:40:00,1013.3,1011.9056715065853,1008.575085685872,Normal,Normal,Normal
25/01/2019 02:50:00,1013.2,1011.7296337965014,1008.5713221666444,Normal,Normal,Normal
25/01/2019 03:00:00,1013.3,1011.6052308334936,1008.5700603791554,Normal,Normal,Normal
25/01/2019 03:10:00,1013.4,1011.527800343556,1008.5676127367694,Normal,Normal,Normal
25/01/2019 03:20:00,1013.3,1011.4744864301167,1008.5753695436795,Normal,Normal,Normal
25/01/2019 03:30:00,1013.3,1011.4624354210196,1008.5758547217627,Normal,Normal,Normal
25/01/2019 03:40:00,1013.2,1011.4449736547651,1008.5727979683359,Normal,Normal,Normal
25/01/2019 03:50:00,1013.2,1011.4740497427205,1008.5678377238144,Normal,Normal,Normal
25/01/2019 04:00:00,1013.1,1011.5121036928672,1008.5765007224907,Normal,Normal,Normal
25/01/2019 04:10:00,1012.9,1011.5455201622092,1008.5750187628944,Normal,Normal,Normal
25/01/2019 04:20:00,1012.8,1011.6454717525368,1008.5803286221851,Normal,Normal,Normal
25/01/2019 04:30:00,1012.5,1011.6930867034373,1008.5816590593238,Normal,Normal,Normal
25/01/2019 04:40:00,1012.3,1011.6512371159472,1008.5880190257956,Normal,Normal,Normal
25/01/2019 04:50:00,1012.1,1011.6358515180366,1008.5999390178401,Normal,Normal,Normal
25/01/2019 05:00:00,1011.8,1011.6305975357637,1008.6081300557632,Normal,Normal,Normal
25/01/2019 05:10:00,1011.7,1011.512379625436,1008.6249260709662,Normal,Normal,Normal
25/01/2019 05:20:00,1011.5,1011.4491660532653,1008.6393997755874,Normal,Normal,Normal
25/01/2019 05:30:00,1011.2,1011.3071355265523,1008.6531732057263,Normal,Normal,Normal
25/01/2019 05:40:00,1011.0,1011.086352727614,1008.6706360851456,Normal,Normal,Normal
25/01/2019 05:50:00,1010.8,1010.8929445710894,1008.6829467129935,Normal,Normal,Normal
25/01/2019 06:00:00,1010.7,1010.7187292970668,1008.6990860917647,Normal,Normal,Normal
25/01/2019 06:10:00,1010.6,1010.6327141744201,1008.7193173405756,Normal,Normal,Normal
25/01/2019 06:20:00,1010.5,1010.5273877272595,1008.7339915310074,Normal,Normal,Normal
25/01/2019 06:30:00,1010.4,1010.405370064858,1008.7475230519701,Normal,Normal,Normal
25/01/2019 06:40:00,1010.3,1010.2957559009668,1008.7572481197346,Normal,Normal,Normal
25/01/2019 06:50:00,1010.2,1010.1832692130354,1008.7677672703792,Normal,Normal,Normal
25/01/2019 07:00:00,1010.1,1010.0871346554829,1008.7766374473501,Normal,Normal,Normal
25/01/2019 07:10:00,1009.9,1009.9982319300658,1008.7860103839118,Normal,Normal,Normal
25/01/2019 07:20:00,1009.7,1009.792311326561,1008.793132112645,Normal,Normal,Normal
25/01/2019 07:30:00,1009.7,1009.5923958562039,1008.8018846021075,Normal,Normal,Normal
25/01/2019 07:40:00,1009.6,1009.6028556269935,1008.811806117468,Normal,Normal,Normal
25/01/2019 07:50:00,1009.5,1009.4952674951354,1008.8228728448082,Normal,Normal,Normal
25/01/2019 08:00:00,1009.4,1009.4019520696232,1008.8343901255209,Normal,Normal,Normal
25/01/2019 08:10:00,1009.5,1009.3057590353621,1008.8372066405643,Normal,Normal,Normal
25/01/2019 08:20:00,1009.5,1009.4297952688299,1008.8475804229308,Normal,Normal,Normal
25/01/2019 08:30:00,1009.6,1009.4481971963356,1008.853151432522,Normal,Normal,Normal
25/01/2019 08:40:00,1009.5,1009.5842540949504,1008.8611021761824,Normal,Normal,Normal
25/01/2019 08:50:00,1009.4,1009.4706391800515,1008.8548333489377,Normal,Normal,Normal
25/01/2019 09:00:00,1009.4,1009.365452539541,1008.8589026828338,Normal,Normal,Normal
25/01/2019 09:10:00,1009.4,1009.357740253151,1008.8560314619024,Normal,Normal,Normal
25/01/2019 09:20:00,1009.4,1009.3683853900222,1008.8631385930855,Normal,Normal,Normal
25/01/2019 09:30:00,1009.4,1009.3679492582888,1008.8657003914047,Normal,Normal,Normal
25/01/2019 09:40:00,1009.5,1009.3840326598504,1008.8663551540155,Normal,Normal,Normal
25/01/2019 09:50:00,1009.6,1009.4932303079158,1008.8663182363887,Normal,Normal,Normal
25/01/2019 10:00:00,1009.7,1009.6252277492459,1008.8668047816534,Normal,Normal,Normal
25/01/2019 10:10:00,1009.8,1009.7429245779351,1008.8663808380295,Normal,Normal,Normal
25/01/2019 10:20:00,1009.9,1009.8577811688042,1008.8607936420519,Normal,Normal,Normal
25/01/2019 10:30:00,1009.9,1009.9705365814899,1008.8559747890611,Normal,Normal,Normal
25/01/2019 10:40:00,1010.0,1009.9640236498731,1008.8492541101803,Normal,Normal,Normal
25/01/2019 10:50:00,1010.2,1010.0710019170846,1008.8446825587232,Normal,Normal,Normal
25/01/2019 11:00:00,1010.2,1010.2872714903696,1008.8383581538726,Normal,Normal,Normal
25/01/2019 11:10:00,1010.3,1010.284611060516,1008.8339180790861,Normal,Normal,Normal
25/01/2019 11:20:00,1010.4,1010.3918618221655,1008.8270590578247,Normal,Normal,Normal
25/01/2019 11:30:00,1010.4,1010.4893665527158,1008.8156967286993,Normal,Normal,Normal
25/01/2019 11:40:00,1010.5,1010.4755395309978,1008.8130263642449,Normal,Normal,Normal
25/01/2019 11:50:00,1010.6,1010.5909538546443,1008.8067291242112,Normal,Normal,Normal
25/01/2019 12:00:00,1010.7,1010.6787348328195,1008.8000564270694,Normal,Normal,Normal
25/01/2019 12:10:00,1011.0,1010.7794262125745,1008.7967053850223,Normal,Normal,Normal
25/01/2019 12:20:00,1011.1,1011.112869952005,1008.7911928159226,Normal,Normal,Normal
25/01/2019 12:30:00,1011.3,1011.1956408627193,1008.7809204713483,Normal,Normal,Normal
25/01/2019 12:40:00,1011.4,1011.4033896715379,1008.7741346613545,Normal,Normal,Normal
25/01/2019 12:50:00,1011.5,1011.5004438818966,1008.7565475695808,Normal,Normal,Normal
25/01/2019 13:00:00,1011.7,1011.5898233814587,1008.749988016956,Normal,Normal,Normal
25/01/2019 13:10:00,1011.9,1011.7991416401564,1008.7371328410734,Normal,Normal,Normal
25/01/2019 13:20:00,1012.0,1011.980758194844,1008.7293598496396,Normal,Normal,Normal
25/01/2019 13:30:00,1012.2,1012.0705513771155,1008.7170399458189,Normal,Normal,Normal
25/01/2019 13:40:00,1012.1,1012.2355351058211,1008.7053587858607,Normal,Normal,Normal
25/01/2019 13:50:00,1012.1,1012.1360836921002,1008.688764901184,Normal,Normal,Normal
25/01/2019 14:00:00,1012.0,1012.104074514365,1008.6833404445131,Normal,Normal,Normal
25/01/2019 14:10:00,1011.9,1011.9657235583192,1008.6702662569512,Normal,Normal,Normal
25/01/2019 14:20:00,1011.8,1011.8386327223451,1008.6737643380691,Normal,Normal,Normal
25/01/2019 14:30:00,1011.7,1011.7094380337778,1008.6700524141122,Normal,Normal,Normal
25/01/2019 14:40:00,1011.8,1011.5947005505205,1008.6749200088013,Normal,Normal,Normal
25/01/2019 14:50:00,1011.9,1011.7073279942963,1008.6785768636544,Normal,Normal,Normal
25/01/2019 15:00:00,1012.0,1011.833848813327,1008.6839434665669,Normal,Normal,Normal
25/01/2019 15:10:00,1012.0,1011.9332181244273,1008.6870040048886,Normal,Normal,Normal
25/01/2019 15:20:00,1012.0,1011.9452652062229,1008.6821881526191,Normal,Normal,Normal
25/01/2019 15:30:00,1012.0,1011.9356710220457,1008.6796280791093,Normal,Normal,Normal
25/01/2019 15:40:00,1012.0,1011.9498765714673,1008.6761010431726,Normal,Normal,Normal
25/01/2019 15:50:00,1011.9,1011.960994630327,1008.6773468696554,Normal,Normal,Normal
25/01/2019 16:00:00,1012.0,1011.8622302767803,1008.6749704827596,Normal,Normal,Normal
25/01/2019 16:10:00,1012.0,1011.9574168365044,1008.6765264471103,Normal,Normal,Normal
25/01/2019 16:20:00,1012.1,1011.9836150428555,1008.6737821430941,Normal,Normal,Normal
25/01/2019 16:30:00,1012.1,1012.0885646352615,1008.678822937705,Normal,Normal,Normal
25/01/2019 16:40:00,1012.1,1012.0862157308414,1008.671400214829,Normal,Normal,Normal
25/01/2019 16:50:00,1012.1,1012.0885439650787,1008.6726335951168,Normal,Normal,Normal
25/01/2019 17:00:00,1012.0,1012.0855465693875,1008.6670187053312,Normal,Normal,Normal
25/01/2019 17:10:00,1011.9,1011.9768256263869,1008.6680802417029,Normal,Normal,Normal
25/01/2019 17:20:00,1011.7,1011.8496021865228,1008.666834515803,Normal,Normal,Normal
25/01/2019 17:30:00,1011.6,1011.6174959661342,1008.6676765897353,Normal,Normal,Normal
25/01/2019 17:40:00,1011.4,1011.4809243736921,1008.673506009676,Normal,Normal,Normal
25/01/2019 17:50:00,1011.2,1011.2764226574557,1008.6783861753572,Normal,Normal,Normal
25/01/2019 18:00:00,1011.1,1011.0705421798172,1008.6896765244235,Normal,Normal,Normal
25/01/2019 18:10:00,1011.0,1010.9785007384211,1008.6968292661984,Normal,Normal,Normal
25/01/2019 18:20:00,1010.8,1010.9015839011223,1008.7099058267702,Normal,Normal,Normal
25/01/2019 18:30:00,1010.7,1010.719991150242,1008.720566082098,Normal,Normal,Normal
25/01/2019 18:40:00,1010.6,1010.606350414789,1008.730885948338,Normal,Normal,Normal
25/01/2019 18:50:00,1010.5,1010.4996441256727,1008.7393276945729,Normal,Normal,Normal
25/01/2019 19:00:00,1010.4,1010.3988701417371,1008.7532975723077,Normal,Normal,Normal
25/01/2019 19:10:00,1010.4,1010.2951785892803,1008.7611897432287,Normal,Normal,Normal
25/01/2019 19:20:00,1010.3,1010.2920395281475,1008.7704882727046,Normal,Normal,Normal
25/01/2019 19:30:00,1010.0,1010.2010082584644,1008.7769484420348,Normal,Normal,Normal
25/01/2019 19:40:00,1010.3,1009.8913910722292,1008.7840234928806,Normal,Normal,Normal
25/01/2019 19:50:00,1010.3,1010.2327083486439,1008.792336213686,Normal,Normal,Normal
25/01/2019 20:00:00,1010.3,1010.2345842957553,1008.7959804658819,Normal,Normal,Normal
25/01/2019 20:10:00,1010.2,1010.2635023458463,1008.8107503124554,Normal,Normal,Normal
25/01/2019 20:20:00,1010.3,1010.1731730297738,1008.7958076515276,Normal,Normal,Normal
25/01/2019 20:30:00,1010.1,1010.2749087664523,1008.8026626811404,Normal,Normal,Normal
